Date,Make,Model,Color,Year,Price,Mileage,EngineSize,FuelEfficiency,SalesPerson
2022-01-01,Ford,SUV,Blue,2022,41544.11,46552.0,2.5,39.5,David
2022-01-02,Audi,Sedan,White,2021,78905.12,66065.0,1.6,27.8,Charlie
2022-01-03,Nissan,Hatchback,White,2017,26169.31,45989.0,4.0,24.2,Eva
2022-01-04,BMW,Van,Black,2020,27545.09,46212.0,1.6,22.2,David
2022-01-05,Chevrolet,SUV,Black,2022,42635.4,73108.0,2.0,27.5,Bob
2022-01-06,Kia,SUV,Green,2015,32243.29,50265.0,2.0,30.2,Bob
2022-01-07,Mercedes,Truck,White,2015,45331.13,89946.0,4.0,39.8,David
2022-01-08,Honda,Truck,Blue,2021,24932.89,38515.0,3.0,32.7,Charlie
2022-01-09,Hyundai,SUV,Gray,2017,39163.82,97989.0,3.5,24.9,David
2022-01-10,Toyota,Hatchback,White,2022,64751.23,76759.0,3.0,29.9,Charlie
2022-01-11,Chevrolet,Sedan,White,2020,30526.79,64620.0,2.0,32.2,Eva
2022-01-12,Toyota,Coupe,Blue,2016,78164.47,651.0,2.5,33.1,David
2022-01-13,Ford,Hatchback,Green,2020,26838.74,11549.0,4.0,31.3,Eva
2022-01-14,Hyundai,Hatchback,Green,2020,34702.96,49454.0,2.5,38.9,Bob
2022-01-15,Nissan,Coupe,Black,2021,49767.31,11325.0,1.6,23.3,Eva
2022-01-16,Honda,Sedan,Gray,2016,64318.78,7604.0,2.0,26.2,Charlie
2022-01-17,BMW,Hatchback,Red,2022,45025.85,47617.0,3.5,25.9,David
2022-01-18,Toyota,Van,Green,2017,66293.13,11174.0,3.0,20.9,David
2022-01-19,Toyota,SUV,Green,2021,73471.6,78705.0,4.0,26.7,Charlie
2022-01-20,Kia,Truck,Silver,2020,77406.47,30375.0,3.5,37.2,Alice
2022-01-21,Honda,Truck,Gray,2016,34232.11,84761.0,1.6,21.3,Bob
2022-01-22,Chevrolet,Sedan,Green,2019,69681.39,3551.0,2.5,24.1,Charlie
2022-01-23,Hyundai,Sedan,White,2018,36256.07,90189.0,3.0,26.1,Alice
2022-01-24,Kia,Truck,Green,2022,41362.15,3728.0,3.0,29.0,Charlie
2022-01-25,Kia,Truck,Green,2021,30920.04,86856.0,2.5,31.9,Charlie
2022-01-26,Hyundai,Van,Silver,2017,52659.22,43310.0,2.5,26.4,Charlie
2022-01-27,Toyota,Hatchback,Silver,2019,39226.01,53246.0,4.0,20.6,Eva
2022-01-28,Hyundai,Coupe,Red,2018,44205.88,85855.0,1.6,20.2,Charlie
2022-01-29,Kia,Sedan,Green,2020,37440.5,46999.0,2.0,35.3,David
2022-01-30,Mercedes,Coupe,Silver,2017,54427.58,51672.0,2.5,35.1,David
2022-01-31,Honda,SUV,Blue,2019,44393.68,72754.0,2.5,38.2,David
2022-02-01,Nissan,SUV,Black,2017,72611.38,97544.0,2.0,22.2,Eva
2022-02-02,Hyundai,Sedan,Silver,2015,38474.05,14450.0,3.5,22.7,David
2022-02-03,Kia,Coupe,Gray,2018,41297.12,28560.0,3.0,24.8,Bob
2022-02-04,Audi,Hatchback,Silver,2015,47431.26,15054.0,3.5,30.6,Eva
2022-02-05,Chevrolet,Hatchback,Green,2016,55797.84,76995.0,2.5,27.6,Bob
2022-02-06,Nissan,Van,Gray,2017,39124.95,73060.0,3.5,31.1,Alice
2022-02-07,Chevrolet,Sedan,Red,2020,72779.26,46673.0,2.5,35.1,David
2022-02-08,Mercedes,Hatchback,Blue,2022,49425.94,17173.0,3.5,36.8,Alice
2022-02-09,Chevrolet,Van,Blue,2019,74010.52,36809.0,2.0,32.8,Bob
2022-02-10,Ford,Sedan,White,2017,30160.48,36611.0,2.5,37.2,Charlie
